               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.017019,           0.0035384,           0.0024961,             0.80501,             0.70107,             0.76664,             0.59609,            0.027392,            0.011026,            0.035303,            0.005314,            0.005314,            0.005314
                 144,            0.019235,           0.0040854,           0.0024054,             0.73943,             0.73799,             0.77538,             0.61286,            0.025833,             0.01096,            0.035074,            0.005281,            0.005281,            0.005281
                 145,             0.01783,             0.00372,           0.0034591,             0.73336,             0.71745,             0.75034,             0.59854,            0.026827,            0.011859,            0.035953,            0.005248,            0.005248,            0.005248
                 146,            0.018081,           0.0043155,           0.0037271,             0.73265,             0.68002,             0.73383,             0.57194,            0.027817,             0.01262,            0.036319,            0.005215,            0.005215,            0.005215
                 147,            0.017415,           0.0041752,           0.0029553,             0.78409,             0.65415,              0.7527,             0.59551,            0.026557,            0.012647,            0.033939,            0.005182,            0.005182,            0.005182
                 148,            0.018188,            0.004222,            0.003691,              0.7226,             0.66634,             0.77233,             0.61729,             0.02755,            0.011529,            0.036154,            0.005149,            0.005149,            0.005149
                 149,            0.017681,           0.0040171,           0.0030128,             0.74607,             0.60998,             0.72477,             0.57811,            0.027698,            0.013056,            0.044659,            0.005116,            0.005116,            0.005116
                 150,            0.017013,           0.0040207,            0.003045,             0.70951,             0.67306,             0.72644,             0.56873,            0.028743,            0.012542,            0.037692,            0.005083,            0.005083,            0.005083
                 151,            0.017141,            0.003795,           0.0036163,             0.74442,              0.7058,             0.73167,             0.57869,            0.027864,            0.011313,            0.038809,             0.00505,             0.00505,             0.00505
                 152,            0.016864,           0.0038466,           0.0041638,             0.78983,             0.72666,             0.74188,             0.58112,             0.02605,            0.011388,            0.038086,            0.005017,            0.005017,            0.005017
                 153,            0.018004,           0.0039011,           0.0040522,             0.84964,             0.60497,             0.78619,             0.63998,            0.025485,            0.012665,            0.041153,            0.004984,            0.004984,            0.004984
                 154,             0.01679,           0.0040144,           0.0030201,             0.73168,             0.71261,             0.79159,             0.64071,            0.025782,            0.012317,            0.036502,            0.004951,            0.004951,            0.004951
                 155,            0.017989,           0.0040046,           0.0026087,             0.80102,             0.65099,             0.78878,              0.6176,            0.025313,            0.011944,            0.037006,            0.004918,            0.004918,            0.004918
                 156,            0.016916,           0.0039141,           0.0030944,             0.81198,             0.71013,             0.78803,             0.60554,            0.026035,            0.012297,            0.033792,            0.004885,            0.004885,            0.004885
                 157,            0.016835,            0.003856,           0.0023457,             0.79163,             0.73329,              0.7646,             0.61493,            0.025226,            0.011832,            0.036841,            0.004852,            0.004852,            0.004852
                 158,            0.017239,           0.0040557,           0.0026757,             0.79735,             0.68233,             0.74579,              0.5885,            0.026368,            0.012702,            0.037134,            0.004819,            0.004819,            0.004819
                 159,            0.016984,           0.0039105,           0.0035861,             0.82364,             0.68427,             0.72223,             0.53722,            0.029234,            0.012499,            0.043222,            0.004786,            0.004786,            0.004786
